#t lex rand randsort randsortdesc randw randwnoh 
0 78716.309068 82626.2406404 81052.2806176 86115.8087402 76064.7200809 84734.439549
1 157432.618136 165252.481281 162104.561235 172231.61748 152129.440162 169468.879098
2 236148.927204 247878.721921 243156.841853 258347.426221 228194.160243 254203.318647
3 314865.236272 330504.962562 324209.12247 344463.234961 304258.880324 338937.758196
4 393581.54534 413131.203202 405261.403088 430579.043701 380323.600405 423672.197745
5 472297.854408 495757.443842 486313.683705 516694.852441 456388.320486 508406.637294
6 551014.163476 578383.684483 567365.964323 602810.661182 532453.040567 593141.076843
7 629730.472544 661009.925123 648418.244941 688926.469922 608517.760648 677875.516392
8 708446.781612 743636.165764 729470.525558 775042.278662 684582.480729 762609.955941
9 787163.09068 826262.406404 810522.806176 861158.087402 760647.200809 847344.39549
10 865879.399748 908888.647044 891575.086793 947273.896143 836711.92089 932078.835039
11 944595.708816 991514.887685 972627.367411 1033389.70488 912776.640971 1016813.27459
12 1023312.01788 1074141.12833 1053679.64803 1119505.51362 988841.361052 1101547.71414
13 1102028.32695 1156767.36897 1134731.92865 1205621.32236 1064906.08113 1186282.15369
14 1180744.63602 1239393.60961 1215784.20926 1291737.1311 1140970.80121 1271016.59324
15 1259460.94509 1322019.85025 1296836.48988 1377852.93984 1217035.5213 1355751.03278
16 1338177.25416 1404646.09089 1377888.7705 1463968.74858 1293100.24138 1440485.47233
17 1416893.56322 1487272.33153 1458941.05112 1550084.55732 1369164.96146 1525219.91188
18 1495609.87229 1569898.57217 1539993.33173 1636200.36606 1445229.68154 1609954.35143
19 1574326.18136 1652524.81281 1621045.61235 1722316.1748 1521294.40162 1694688.79098
20 1653042.49043 1735151.05345 1702097.89297 1808431.98354 1597359.1217 1779423.23053
21 1731758.7995 1817777.29409 1783150.17359 1894547.79229 1673423.84178 1864157.67008
22 1810475.10856 1900403.53473 1864202.4542 1980663.60103 1749488.56186 1948892.10963
23 1889191.41763 1983029.77537 1945254.73482 2066779.40977 1825553.28194 2033626.54918
24 1967907.7267 2065656.01601 2026307.01544 2152895.21851 1901618.00202 2118360.98873
25 2046624.03577 2148282.25665 2107359.29606 2239011.02725 1977682.7221 2203095.42827
26 2125340.34484 2230908.49729 2188411.57667 2325126.83599 2053747.44219 2287829.86782
27 2204056.6539 2313534.73793 2269463.85729 2411242.64473 2129812.16227 2372564.30737
28 2282772.96297 2396160.97857 2350516.13791 2497358.45347 2205876.88235 2457298.74692
29 2361489.27204 2478787.21921 2431568.41853 2583474.26221 2281941.60243 2542033.18647
30 2440205.58111 2561413.45985 2512620.69915 2669590.07095 2358006.32251 2626767.62602
31 2518921.89018 2644039.70049 2593672.97976 2755705.87969 2434071.04259 2711502.06557
32 2597638.19925 2726665.94113 2674725.26038 2841821.68843 2510135.76267 2796236.50512
33 2676354.50831 2809292.18177 2755777.541 2927937.49717 2586200.48275 2880970.94467
34 2755070.81738 2891918.42241 2836829.82162 3014053.30591 2662265.20283 2965705.38422
35 2833787.12645 2974544.66305 2917882.10223 3100169.11465 2738329.92291 3050439.82376
36 2912503.43552 3057170.9037 2998934.38285 3186284.92339 2814394.643 3135174.26331
37 2991219.74459 3139797.14434 3079986.66347 3272400.73213 2890459.36308 3219908.70286
