#t lex rand randsort randsortdesc randw randwnoh 
0 145323.786077 145458.562285 146657.243465 135630.355183 135458.735953 134023.123872
1 290647.572154 290917.124569 293314.486929 271260.710365 270917.471906 268046.247744
2 435971.358231 436375.686854 439971.730394 406891.065548 406376.207859 402069.371615
3 581295.144308 581834.249139 586628.973859 542521.420731 541834.943812 536092.495487
4 726618.930385 727292.811424 733286.217323 678151.775914 677293.679765 670115.619359
5 871942.716462 872751.373708 879943.460788 813782.131096 812752.415718 804138.743231
6 1017266.50254 1018209.93599 1026600.70425 949412.486279 948211.151671 938161.867103
7 1162590.28862 1163668.49828 1173257.94772 1085042.84146 1083669.88762 1072184.99097
8 1307914.07469 1309127.06056 1319915.19118 1220673.19664 1219128.62358 1206208.11485
9 1453237.86077 1454585.62285 1466572.43465 1356303.55183 1354587.35953 1340231.23872
10 1598561.64685 1600044.18513 1613229.67811 1491933.90701 1490046.09548 1474254.36259
11 1743885.43292 1745502.74742 1759886.92158 1627564.26219 1625504.83144 1608277.48646
12 1889209.219 1890961.3097 1906544.16504 1763194.61738 1760963.56739 1742300.61033
13 2034533.00508 2036419.87199 2053201.4085 1898824.97256 1896422.30334 1876323.73421
14 2179856.79115 2181878.43427 2199858.65197 2034455.32774 2031881.0393 2010346.85808
15 2325180.57723 2327336.99656 2346515.89543 2170085.68292 2167339.77525 2144369.98195
16 2470504.36331 2472795.55884 2493173.1389 2305716.03811 2302798.5112 2278393.10582
17 2615828.14938 2618254.12112 2639830.38236 2441346.39329 2438257.24715 2412416.22969
18 2761151.93546 2763712.68341 2786487.62583 2576976.74847 2573715.98311 2546439.35356
19 2906475.72154 2909171.24569 2933144.86929 2712607.10365 2709174.71906 2680462.47744
20 3051799.50762 3054629.80798 3079802.11276 2848237.45884 2844633.45501 2814485.60131
21 3197123.29369 3200088.37026 3226459.35622 2983867.81402 2980092.19097 2948508.72518
22 3342447.07977 3345546.93255 3373116.59969 3119498.1692 3115550.92692 3082531.84905
23 3487770.86585 3491005.49483 3519773.84315 3255128.52438 3251009.66287 3216554.97292
24 3633094.65192 3636464.05712 3666431.08662 3390758.87957 3386468.39883 3350578.0968
25 3778418.438 3781922.6194 3813088.33008 3526389.23475 3521927.13478 3484601.22067
26 3923742.22408 3927381.18169 3959745.57354 3662019.58993 3657385.87073 3618624.34454
27 4069066.01015 4072839.74397 4106402.81701 3797649.94512 3792844.60668 3752647.46841
28 4214389.79623 4218298.30626 4253060.06047 3933280.3003 3928303.34264 3886670.59228
29 4359713.58231 4363756.86854 4399717.30394 4068910.65548 4063762.07859 4020693.71615
30 4505037.36838 4509215.43083 4546374.5474 4204541.01066 4199220.81454 4154716.84003
31 4650361.15446 4654673.99311 4693031.79087 4340171.36585 4334679.5505 4288739.9639
32 4795684.94054 4800132.5554 4839689.03433 4475801.72103 4470138.28645 4422763.08777
33 4941008.72662 4945591.11768 4986346.2778 4611432.07621 4605597.0224 4556786.21164
34 5086332.51269 5091049.67996 5133003.52126 4747062.43139 4741055.75836 4690809.33551
35 5231656.29877 5236508.24225 5279660.76473 4882692.78658 4876514.49431 4824832.45939
36 5376980.08485 5381966.80453 5426318.00819 5018323.14176 5011973.23026 4958855.58326
37 5522303.87092 5527425.36682 5572975.25166 5153953.49694 5147431.96622 5092878.70713
38 5667627.657 5672883.9291 5719632.49512 5289583.85213 5282890.70217 5226901.831
39 5812951.44308 5818342.49139 5866289.73859 5425214.20731 5418349.43812 5360924.95487
40 5958275.22915 5963801.05367 6012946.98205 5560844.56249 5553808.17407 5494948.07874
41 6103599.01523 6109259.61596 6159604.22551 5696474.91767 5689266.91003 5628971.20262
42 6248922.80131 6254718.17824 6306261.46898 5832105.27286 5824725.64598 5762994.32649
43 6394246.58738 6400176.74053 6452918.71244 5967735.62804 5960184.38193 5897017.45036
44 6539570.37346 6545635.30281 6599575.95591 6103365.98322 6095643.11789 6031040.57423
45 6684894.15954 6691093.8651 6746233.19937 6238996.3384 6231101.85384 6165063.6981
46 6830217.94562 6836552.42738 6892890.44284 6374626.69359 6366560.58979 6299086.82198
47 6975541.73169 6982010.98967 7039547.6863 6510257.04877 6502019.32575 6433109.94585
48 7120865.51777 7127469.55195 7186204.92977 6645887.40395 6637478.0617 6567133.06972
49 7266189.30385 7272928.11424 7332862.17323 6781517.75914 6772936.79765 6701156.19359
50 7411513.08992 7418386.67652 7479519.4167 6917148.11432 6908395.5336 6835179.31746
51 7556836.876 7563845.2388 7626176.66016 7052778.4695 7043854.26956 6969202.44133
52 7702160.66208 7709303.80109 7772833.90363 7188408.82468 7179313.00551 7103225.56521
53 7847484.44815 7854762.36337 7919491.14709 7324039.17987 7314771.74146 7237248.68908
54 7992808.23423 8000220.92566 8066148.39055 7459669.53505 7450230.47742 7371271.81295
55 8138132.02031 8145679.48794 8212805.63402 7595299.89023 7585689.21337 7505294.93682
56 8283455.80638 8291138.05023 8359462.87748 7730930.24541 7721147.94932 7639318.06069
57 8428779.59246 8436596.61251 8506120.12095 7866560.6006 7856606.68528 7773341.18457
58 8574103.37854 8582055.1748 8652777.36441 8002190.95578 7992065.42123 7907364.30844
59 8719427.16462 8727513.73708 8799434.60788 8137821.31096 8127524.15718 8041387.43231
60 8864750.95069 8872972.29937 8946091.85134 8273451.66614 8262982.89313 8175410.55618
61 9010074.73677 9018430.86165 9092749.09481 8409082.02133 8398441.62909 8309433.68005
62 9155398.52285 9163889.42394 9239406.33827 8544712.37651 8533900.36504 8443456.80393
63 9300722.30892 9309347.98622 9386063.58174 8680342.73169 8669359.10099 8577479.9278
64 9446046.095 9454806.54851 9532720.8252 8815973.08688 8804817.83695 8711503.05167
65 9591369.88108 9600265.11079 9679378.06867 8951603.44206 8940276.5729 8845526.17554
66 9736693.66715 9745723.67308 9826035.31213 9087233.79724 9075735.30885 8979549.29941
67 9882017.45323 9891182.23536 9972692.55559 9222864.15242 9211194.04481 9113572.42328
