#t lex rand randsort randsortdesc randw randwnoh 
0 140470.32466 142549.596184 125924.334906 140872.063008 145908.413501 151146.943382
1 280940.64932 285099.192368 251848.669813 281744.126016 291816.827002 302293.886764
2 421410.97398 427648.788553 377773.004719 422616.189024 437725.240502 453440.830147
3 561881.298639 570198.384737 503697.339626 563488.252031 583633.654003 604587.773529
4 702351.623299 712747.980921 629621.674532 704360.315039 729542.067504 755734.716911
5 842821.947959 855297.577105 755546.009439 845232.378047 875450.481005 906881.660293
6 983292.272619 997847.17329 881470.344345 986104.441055 1021358.89451 1058028.60368
7 1123762.59728 1140396.76947 1007394.67925 1126976.50406 1167267.30801 1209175.54706
8 1264232.92194 1282946.36566 1133319.01416 1267848.56707 1313175.72151 1360322.49044
9 1404703.2466 1425495.96184 1259243.34906 1408720.63008 1459084.13501 1511469.43382
10 1545173.57126 1568045.55803 1385167.68397 1549592.69309 1604992.54851 1662616.3772
11 1685643.89592 1710595.15421 1511092.01888 1690464.75609 1750900.96201 1813763.32059
12 1826114.22058 1853144.7504 1637016.35378 1831336.8191 1896809.37551 1964910.26397
13 1966584.54524 1995694.34658 1762940.68869 1972208.88211 2042717.78901 2116057.20735
14 2107054.8699 2138243.94276 1888865.0236 2113080.94512 2188626.20251 2267204.15073
15 2247525.19456 2280793.53895 2014789.3585 2253953.00813 2334534.61601 2418351.09412
16 2387995.51922 2423343.13513 2140713.69341 2394825.07113 2480443.02951 2569498.0375
17 2528465.84388 2565892.73132 2266638.02832 2535697.13414 2626351.44301 2720644.98088
18 2668936.16854 2708442.3275 2392562.36322 2676569.19715 2772259.85652 2871791.92426
19 2809406.4932 2850991.92368 2518486.69813 2817441.26016 2918168.27002 3022938.86764
20 2949876.81786 2993541.51987 2644411.03304 2958313.32317 3064076.68352 3174085.81103
21 3090347.14252 3136091.11605 2770335.36794 3099185.38617 3209985.09702 3325232.75441
22 3230817.46718 3278640.71224 2896259.70285 3240057.44918 3355893.51052 3476379.69779
23 3371287.79184 3421190.30842 3022184.03776 3380929.51219 3501801.92402 3627526.64117
24 3511758.1165 3563739.90461 3148108.37266 3521801.5752 3647710.33752 3778673.58456
25 3652228.44116 3706289.50079 3274032.70757 3662673.6382 3793618.75102 3929820.52794
26 3792698.76582 3848839.09697 3399957.04248 3803545.70121 3939527.16452 4080967.47132
27 3933169.09048 3991388.69316 3525881.37738 3944417.76422 4085435.57802 4232114.4147
28 4073639.41514 4133938.28934 3651805.71229 4085289.82723 4231343.99152 4383261.35808
29 4214109.7398 4276487.88553 3777730.04719 4226161.89024 4377252.40502 4534408.30147
30 4354580.06446 4419037.48171 3903654.3821 4367033.95324 4523160.81853 4685555.24485
31 4495050.38912 4561587.0779 4029578.71701 4507906.01625 4669069.23203 4836702.18823
32 4635520.71378 4704136.67408 4155503.05191 4648778.07926 4814977.64553 4987849.13161
33 4775991.03844 4846686.27026 4281427.38682 4789650.14227 4960886.05903 5138996.075
34 4916461.36309 4989235.86645 4407351.72173 4930522.20528 5106794.47253 5290143.01838
35 5056931.68775 5131785.46263 4533276.05663 5071394.26828 5252702.88603 5441289.96176
36 5197402.01241 5274335.05882 4659200.39154 5212266.33129 5398611.29953 5592436.90514
37 5337872.33707 5416884.655 4785124.72645 5353138.3943 5544519.71303 5743583.84852
38 5478342.66173 5559434.25119 4911049.06135 5494010.45731 5690428.12653 5894730.79191
39 5618812.98639 5701983.84737 5036973.39626 5634882.52031 5836336.54003 6045877.73529
40 5759283.31105 5844533.44355 5162897.73117 5775754.58332 5982244.95353 6197024.67867
41 5899753.63571 5987083.03974 5288822.06607 5916626.64633 6128153.36703 6348171.62205
42 6040223.96037 6129632.63592 5414746.40098 6057498.70934 6274061.78054 6499318.56544
43 6180694.28503 6272182.23211 5540670.73589 6198370.77235 6419970.19404 6650465.50882
44 6321164.60969 6414731.82829 5666595.07079 6339242.83535 6565878.60754 6801612.4522
45 6461634.93435 6557281.42448 5792519.4057 6480114.89836 6711787.02104 6952759.39558
46 6602105.25901 6699831.02066 5918443.7406 6620986.96137 6857695.43454 7103906.33896
47 6742575.58367 6842380.61684 6044368.07551 6761859.02438 7003603.84804 7255053.28235
48 6883045.90833 6984930.21303 6170292.41042 6902731.08739 7149512.26154 7406200.22573
49 7023516.23299 7127479.80921 6296216.74532 7043603.15039 7295420.67504 7557347.16911
50 7163986.55765 7270029.4054 6422141.08023 7184475.2134 7441329.08854 7708494.11249
51 7304456.88231 7412579.00158 6548065.41514 7325347.27641 7587237.50204 7859641.05588
52 7444927.20697 7555128.59777 6673989.75004 7466219.33942 7733145.91554 8010787.99926
53 7585397.53163 7697678.19395 6799914.08495 7607091.40242 7879054.32904 8161934.94264
54 7725867.85629 7840227.79013 6925838.41986 7747963.46543 8024962.74255 8313081.88602
55 7866338.18095 7982777.38632 7051762.75476 7888835.52844 8170871.15605 8464228.8294
56 8006808.50561 8125326.9825 7177687.08967 8029707.59145 8316779.56955 8615375.77279
57 8147278.83027 8267876.57869 7303611.42458 8170579.65446 8462687.98305 8766522.71617
58 8287749.15493 8410426.17487 7429535.75948 8311451.71746 8608596.39655 8917669.65955
59 8428219.47959 8552975.77105 7555460.09439 8452323.78047 8754504.81005 9068816.60293
60 8568689.80425 8695525.36724 7681384.4293 8593195.84348 8900413.22355 9219963.54632
61 8709160.12891 8838074.96342 7807308.7642 8734067.90649 9046321.63705 9371110.4897
62 8849630.45357 8980624.55961 7933233.09911 8874939.9695 9192230.05055 9522257.43308
63 8990100.77823 9123174.15579 8059157.43401 9015812.0325 9338138.46405 9673404.37646
64 9130571.10289 9265723.75198 8185081.76892 9156684.09551 9484046.87755 9824551.31984
65 9271041.42755 9408273.34816 8311006.10383 9297556.15852 9629955.29105 9975698.26323
66 9411511.75221 9550822.94434 8436930.43873 9438428.22153 9775863.70456 10126845.2066
67 9551982.07687 9693372.54053 8562854.77364 9579300.28453 9921772.11806 10277992.15
68 9692452.40153 9835922.13671 8688779.10855 9720172.34754 10067680.5316 10429139.0934
69 9832922.72619 9978471.7329 8814703.44345 9861044.41055 10213588.9451 10580286.0368
70 9973393.05085 10121021.3291 8940627.77836 10001916.4736 10359497.3586 10731432.9801
71 10113863.3755 10263570.9253 9066552.11327 10142788.5366 10505405.7721 10882579.9235
72 10254333.7002 10406120.5215 9192476.44817 10283660.5996 10651314.1856 11033726.8669
73 10394804.0248 10548670.1176 9318400.78308 10424532.6626 10797222.5991 11184873.8103
74 10535274.3495 10691219.7138 9444325.11799 10565404.7256 10943131.0126 11336020.7537
75 10675744.6741 10833769.31 9570249.45289 10706276.7886 11089039.4261 11487167.697
76 10816214.9988 10976318.9062 9696173.7878 10847148.8516 11234947.8396 11638314.6404
77 10956685.3235 11118868.5024 9822098.12271 10988020.9146 11380856.2531 11789461.5838
78 11097155.6481 11261418.0986 9948022.45761 11128892.9776 11526764.6666 11940608.5272
79 11237625.9728 11403967.6947 10073946.7925 11269765.0406 11672673.0801 12091755.4706
80 11378096.2974 11546517.2909 10199871.1274 11410637.1036 11818581.4936 12242902.414
81 11518566.6221 11689066.8871 10325795.4623 11551509.1666 11964489.9071 12394049.3573
82 11659036.9468 11831616.4833 10451719.7972 11692381.2297 12110398.3206 12545196.3007
83 11799507.2714 11974166.0795 10577644.1321 11833253.2927 12256306.7341 12696343.2441
84 11939977.5961 12116715.6757 10703568.4671 11974125.3557 12402215.1476 12847490.1875
