#t lex rand randsort randsortdesc randw randwnoh 
0 140602.06603 131022.186926 136417.235735 132077.119606 140473.8164 137232.921724
1 281204.13206 262044.373852 272834.47147 264154.239211 280947.632801 274465.843448
2 421806.198089 393066.560778 409251.707206 396231.358817 421421.449201 411698.765172
3 562408.264119 524088.747705 545668.942941 528308.478422 561895.265601 548931.686896
4 703010.330149 655110.934631 682086.178676 660385.598028 702369.082001 686164.60862
5 843612.396179 786133.121557 818503.414411 792462.717633 842842.898402 823397.530344
6 984214.462208 917155.308483 954920.650147 924539.837239 983316.714802 960630.452068
7 1124816.52824 1048177.49541 1091337.88588 1056616.95684 1123790.5312 1097863.37379
8 1265418.59427 1179199.68234 1227755.12162 1188694.07645 1264264.3476 1235096.29552
9 1406020.6603 1310221.86926 1364172.35735 1320771.19606 1404738.164 1372329.21724
10 1546622.72633 1441244.05619 1500589.59309 1452848.31566 1545211.9804 1509562.13896
11 1687224.79236 1572266.24311 1637006.82882 1584925.43527 1685685.7968 1646795.06069
12 1827826.85839 1703288.43004 1773424.06456 1717002.55487 1826159.6132 1784027.98241
13 1968428.92442 1834310.61697 1909841.30029 1849079.67448 1966633.4296 1921260.90414
14 2109030.99045 1965332.80389 2046258.53603 1981156.79408 2107107.246 2058493.82586
15 2249633.05648 2096354.99082 2182675.77176 2113233.91369 2247581.0624 2195726.74758
16 2390235.12251 2227377.17774 2319093.0075 2245311.03329 2388054.8788 2332959.66931
17 2530837.18854 2358399.36467 2455510.24323 2377388.1529 2528528.6952 2470192.59103
18 2671439.25457 2489421.5516 2591927.47897 2509465.27251 2669002.51161 2607425.51276
19 2812041.3206 2620443.73852 2728344.7147 2641542.39211 2809476.32801 2744658.43448
20 2952643.38663 2751465.92545 2864761.95044 2773619.51172 2949950.14441 2881891.3562
21 3093245.45265 2882488.11238 3001179.18618 2905696.63132 3090423.96081 3019124.27793
22 3233847.51868 3013510.2993 3137596.42191 3037773.75093 3230897.77721 3156357.19965
23 3374449.58471 3144532.48623 3274013.65765 3169850.87053 3371371.59361 3293590.12138
24 3515051.65074 3275554.67315 3410430.89338 3301927.99014 3511845.41001 3430823.0431
25 3655653.71677 3406576.86008 3546848.12912 3434005.10975 3652319.22641 3568055.96482
26 3796255.7828 3537599.04701 3683265.36485 3566082.22935 3792793.04281 3705288.88655
27 3936857.84883 3668621.23393 3819682.60059 3698159.34896 3933266.85921 3842521.80827
28 4077459.91486 3799643.42086 3956099.83632 3830236.46856 4073740.67561 3979754.73
29 4218061.98089 3930665.60778 4092517.07206 3962313.58817 4214214.49201 4116987.65172
30 4358664.04692 4061687.79471 4228934.30779 4094390.70777 4354688.30841 4254220.57344
31 4499266.11295 4192709.98164 4365351.54353 4226467.82738 4495162.12481 4391453.49517
32 4639868.17898 4323732.16856 4501768.77926 4358544.94698 4635635.94121 4528686.41689
33 4780470.24501 4454754.35549 4638186.015 4490622.06659 4776109.75761 4665919.33862
34 4921072.31104 4585776.54242 4774603.25073 4622699.1862 4916583.57401 4803152.26034
35 5061674.37707 4716798.72934 4911020.48647 4754776.3058 5057057.39041 4940385.18206
36 5202276.4431 4847820.91627 5047437.7222 4886853.42541 5197531.20681 5077618.10379
37 5342878.50913 4978843.10319 5183854.95794 5018930.54501 5338005.02321 5214851.02551
38 5483480.57516 5109865.29012 5320272.19367 5151007.66462 5478478.83961 5352083.94724
39 5624082.64119 5240887.47705 5456689.42941 5283084.78422 5618952.65601 5489316.86896
40 5764684.70722 5371909.66397 5593106.66515 5415161.90383 5759426.47241 5626549.79068
41 5905286.77325 5502931.8509 5729523.90088 5547239.02343 5899900.28881 5763782.71241
42 6045888.83928 5633954.03782 5865941.13662 5679316.14304 6040374.10521 5901015.63413
43 6186490.90531 5764976.22475 6002358.37235 5811393.26265 6180847.92161 6038248.55586
44 6327092.97134 5895998.41168 6138775.60809 5943470.38225 6321321.73801 6175481.47758
45 6467695.03737 6027020.5986 6275192.84382 6075547.50186 6461795.55441 6312714.3993
46 6608297.1034 6158042.78553 6411610.07956 6207624.62146 6602269.37081 6449947.32103
