Instance,MD5,Sparrow+CP3,CCAnr,Doug Hains,MIPSat,BalancedZ,SparrowToRiss (not competing),dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat (not competing),MIPSat (not competing),SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (not competing),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g (not competing),sattimeRelbackSeq (not competing),sattimeClasp,sattimeRelbackShr (not competing),RSeq (not competing)
VanDerWaerden_pd_2-3-20_388.cnf,cb0aa312f3d05bcbb0f392381f8de3fa,2.56061,4.41733,280.77,3.99639,4.01339,4.14637,201.909,16.3085,120.391,3.2745,1387.02,171.178,171.025,930.739,1891.32,235.118,229.998,290.88,16.8914,16.7734,318.484,208.494,3.06053,1.39079,48.2167,53.9958,236.951,202.511,202.541,28.1517,281.432,13.7089,62.9054,197.513,250.439,8.97563,18.9941,18.9791,73.4328,18.9891
LABS_n078_goal006.cnf,26d998ed907755fa184adebb65d14c0f,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
prime2209-92.cnf,890e8a1cecc618ed692e9acd1fd79edd,1074.9,5000.0,2.6086,476.666,5000.0,506.341,5000.0,5000.0,2.92755,3.05553,1.2888,34.5318,6.69298,4.34934,1.93071,1.27281,1.39979,1.16082,986.689,986.718,40.9218,422.799,5000.0,5000.0,2.99454,1.47278,1.34879,212.706,23.5844,7.49786,2.72558,532.622,1.45978,1.26081,1.36179,1.9547,463.938,464.054,13.104,465.603
prime2209-96.cnf,84e981de183f4d3f958452be6f23a822,993.497,5000.0,2.80957,593.97,5000.0,511.522,5000.0,5000.0,3.50247,3.32649,1.41478,35.3536,7.07292,4.54431,2.00169,1.3168,1.44278,1.18882,987.361,986.913,35.7596,424.092,5000.0,5000.0,3.14852,1.57776,1.47178,4.80627,29.0546,8.16776,4.27435,555.527,1.49077,1.2988,1.50177,2.10468,483.61,485.47,16.1375,487.195
LABS_n053_goal004.cnf,d1accc66cec82391311906f0662c23ed,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,202.752,5000.0,5000.0,242.484,1000.04,3302.62,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2225.43,5000.0,5000.0,5000.0,5000.0,545.611,5000.0,2752.45,5000.0,5000.0,5000.0
prime2209-85.cnf,dbdee5c99db4f2efc8ca0699b8398464,663.502,5000.0,2.37164,475.253,5000.0,495.627,5000.0,5000.0,2.72558,2.76658,1.23881,26.472,5.96409,4.02839,1.70974,1.13283,1.2828,1.04884,986.564,986.51,35.0277,420.545,5000.0,5000.0,2.82557,1.37479,1.17982,4.26135,22.1976,6.93394,2.55661,467.542,1.34479,1.14682,1.23881,1.70374,424.461,425.598,14.0399,422.451
LABS_n072_goal006.cnf,5edf0ecce9803481957875cae229da7d,5000.0,5000.0,5000.0,5000.0,5000.0,4771.41,5000.0,5000.0,5000.0,1692.25,813.324,1256.16,5000.0,173.818,5000.0,5000.0,350.264,5000.0,5000.0,5000.0,5000.0,1840.32,5000.0,5000.0,5000.0,5000.0,950.659,1802.64,5000.0,5000.0,5000.0,5000.0,5000.0,4920.77,3337.97,5000.0,5000.0,2606.3,5000.0,4219.54
LABS_n066_goal005.cnf,cf4d60f607a3f4c69bab5a03e1d9ea10,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,875.602,5000.0,5000.0,5000.0,390.649,5000.0,4418.84,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
LABS_n073_goal006.cnf,dc3b1979cde2e43c3cc3364b92426d99,5000.0,5000.0,5000.0,5000.0,5000.0,2384.08,5000.0,5000.0,5000.0,3702.73,88.6685,5000.0,5000.0,2185.47,5000.0,641.79,5000.0,4460.47,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3973.24,5000.0,84.0532,5000.0,1768.09,5000.0,5000.0,5000.0,5000.0,3977.27,1761.17,4013.83,3116.15,5000.0,5000.0,5000.0
prime2209-84.cnf,b6cd121b7b446ba5c20477110defc052,921.976,5000.0,2.38264,435.04,5000.0,496.237,5000.0,5000.0,2.50162,2.75558,1.24381,26.9519,5.84011,3.99639,1.85072,1.13083,1.2988,1.02784,986.413,986.488,37.7363,420.568,5000.0,5000.0,2.75258,1.36479,1.27081,4.12237,19.0861,6.94194,2.47762,464.894,1.3318,1.11983,1.22881,1.69574,402.481,400.84,12.6261,400.442
