Instance,MD5,SparrowToRiss,dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,MIPSat,MIPSat,SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (disqualified),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g,sattimeRelbackSeq,sattimeClasp,sattimeRelbackShr,RSeq (not competing)
hid-uns-enc-6-1-0-0-0-0-30547.cnf,3011ad2f0a10a61a1e51568ed4d9bf29,549.409,5000.0,5000.0,2892.0,3041.27,619.927,1126.04,296.227,526.256,963.272,549.475,794.096,478.373,2687.67,3349.49,5000.0,3501.73,5000.0,5000.0,506.797,2788.99,718.693,338.558,344.838,1407.55,2380.59,5000.0,3463.4,376.763,392.008,370.503,3035.5,5000.0,825.585,2996.63
rbsat-v1150c84314gyes4.cnf,52baff3dd482e0c114f02929f65abe35,1.9387,3724.9,4019.54,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,24.3413,24.1323,5000.0,444.784,693.814,204.209,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2.25466,5000.0,5000.0,5000.0,5000.0,4.74528,4.75028,7.40887,4.70828
crafted_n10_d6_c4_num4.cnf,a431aefbd1ca4c3d97726cd9c01cdb39,5000.0,40.0029,5000.0,1930.12,5000.0,715.886,3303.92,3292.22,646.324,1054.69,2299.83,4105.57,5000.0,5000.0,1639.29,5000.0,5000.0,5000.0,5000.0,1310.31,5000.0,3773.19,2600.41,4377.07,409.448,5000.0,5000.0,5000.0,2891.28,533.729,745.271,2315.67,5000.0,2301.94,2327.21
shift1add.22961.cnf,683297598ff63e12f0bde9f73e25f9fb,2756.19,33.195,1988.0,564.09,1306.27,5000,1432.39,207.685,2.53761,2.51562,5000.0,5000.0,46.5519,1.2838,1.25581,5000.0,1781.04,5000.0,5000.0,1384.93,5000.0,38.7411,55.7825,26.9279,7.9098,2.67159,1.21181,151.83,58.5181,11.7102,5000.0,1.22581,1.15282,1.20382,1.17682
crafted_n12_d6_c4_num27.cnf,61924f147879fa682e78a8ab00bd1e79,5000.0,53.3899,5000.0,5000.0,5000.0,1533.79,3730.69,3782.52,605.192,881.016,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2651.62,5000.0,5000.0,5000.0,5000.0,573.069,691.349,5000.0,5000.0,5000.0,2330.99,1315.13,5000.0,5000.0,5000.0,5000.0
hid-uns-enc-7-1-0-0-0-0-20364.cnf,c4345b782c50bf294e36b7c88849e7a9,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
rbsat-v945c61409gyes2.cnf,280a865808b90888947964c820f49e8d,1.72874,5000.0,1376.4,1427.73,89.2104,5000.0,611.853,501.123,730.747,2224.22,519.196,1970.36,557.633,60.4788,60.4848,5000.0,435.544,25.7891,225.049,3089.33,663.306,5000.0,5000.0,5000.0,2115.43,589.861,25.1472,4876.66,4311.31,998.549,1032.18,12.0742,11.9372,43.8723,12.0742
battleship-13-25-sat.cnf,cb11d19896d9616291a4869debb8ac0d,0.047991,742.449,67.1758,1051.79,0.023995,5000.0,5000.0,2535.5,5000.0,5000.0,5000.0,5000.0,5000.0,0.108982,0.097984,5000.0,408.425,0.004998,0.004998,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,326.871,0.019996,5000.0,5000.0,5000.0,5000.0,0.016997,0.016996,0.015997,0.019996
rbsat-v945c61409gyes4.cnf,49e72032349bc48537bde006f6571c3f,10.9533,5000.0,5000.0,5000.0,153.855,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,18.9451,18.9671,5000.0,462.068,142.669,121.349,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,10.0735,5000.0,5000.0,5000.0,5000.0,34.9617,35.1856,52.0651,34.9767
p160_2.cnf,0eefe442f12ec3d404bb9b1ff73c7bd3,117.632,5000.0,5000.0,5000.0,241.033,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,80.7337,78.1171,5000.0,61.4687,928.284,221.056,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,91.814,5000.0,5000.0,5000.0,5000.0,25.1382,25.2282,245.815,25.1072
