Instance,MD5,Doug Hains (disqualified),MIPSat,MIPSat,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
q_query_3_L70_coli.sat.cnf,7fc9b20f0efe1e9457bd61eba8178674,44.9762,115.447,166.784,32.829,53.5859,43.5644,134.181,122.235,57.9322,43.3374,119.396,238.007,29.4645,36.1825,49.5385,825.476,120.984,353.609,81.7716,60.2608,37.0184,253.458,39.9609,70.4503,142.743,131.173,36.2525,31.1533,67.8057,340.672,751.079
gss-22-s100.cnf,24798725911435c97d1fdfc6d6057704,1312.94,3751.17,3751.27,5000.0,1375.85,5000.0,5000.0,5000.0,5000.0,5000.0,1895.53,2373.96,5000.0,5000.0,5000.0,5000.0,1862.3,1863.18,1563.22,5000.0,5000.0,5000.0,5000.0,1477.01,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
gss-21-s100.cnf,4088fb63f552da21c0e8cd91f519e724,348.004,184.05,4517.51,3339.03,750.425,5000.0,4938.94,2921.3,5000.0,4703.56,2350.22,1351.59,5000.0,1449.12,4958.92,5000.0,5000.0,5000.0,3051.0,5000.0,3080.83,5000.0,5000.0,5000.0,573.931,3099.23,300.048,740.808,3129.73,5000.0,5000.0
UCG-15-10p1.cnf,484dad50fb275faff8eff92c4d5447cb,1408.59,500.515,603.691,807.477,1264.09,838.964,995.676,1502.72,3584.41,1262.1,333.166,668.504,522.822,1286.07,841.652,5000.0,786.371,779.171,1549.34,1455.1,1911.36,1000.44,1048.94,295.964,368.811,716.601,966.723,1419.94,1476.73,3217.28,991.296
UTI-20-10p1.cnf,9573f6b4001373bab93d1a02f96820d1,2652.02,5000.0,5000.0,2451.72,3119.38,1691.95,3261.53,2953.71,3201.09,2569.21,622.694,843.284,1871.17,1962.27,1450.8,5000.0,2144.86,2148.61,1837.58,5000.0,3236.05,1962.68,1938.92,1657.24,1953.4,5000.0,2455.09,1733.08,2998.03,5000.0,2999.44
ndhf_xits_19_UNKNOWN.cnf,4cf2a693df1b6e5a084b88e84ec5f2af,5000.0,1751.39,908.591,5000.0,404.931,363.141,472.419,17.2994,334.969,112.628,846.343,220.536,587.412,5000.0,1309.3,455.396,589.047,314.999,314.416,5000.0,366.627,121.706,120.563,48.5926,1.40579,5000.0,18.1532,613.619,74.2777,630.711,903.803
velev-pipe-sat-1.0-b9.cnf,bb86eb13126177e1b128fa3186a4972b,95.6475,55.8275,65.674,2.82557,39.593,97.5292,88.2466,87.2567,36.2795,33.8129,66.9948,500.45,6.02908,3.3085,104.162,449.59,539.195,820.172,47.9437,9.68653,101.127,731.286,314.658,30.0954,49.1875,114.403,35.4286,102.378,298.227,5000.0,605.827
9vliw_m_9stages_iq3_C1_bug6.cnf,0e9412385af2433f77994a2100fac3f8,67.0878,176.927,221.316,64.3432,79.2799,70.2053,383.243,131.111,64.9881,64.6452,234.858,429.748,44.7632,24.6483,66.5459,252.428,577.295,975.948,262.351,28.3177,83.8782,238.689,235.989,113.981,115.388,90.4013,40.7618,89.6544,195.585,45.6301,44.0233
partial-10-17-s.cnf,f72920912a1bb14f90e9fea5dee0ec1c,5000.0,3714.02,3714.62,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3450.86,5000.0,116.706,5000.0,3047.07,5000.0,5000.0,5000.0,346.296,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4921.63,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
grieu-vmpc-31.cnf,ed08712c88c581f81b2a3952fd4c066d,277.008,5000.0,2834.63,881.844,40.6238,266.965,58.1512,5000.0,54.1438,1837.57,5000.0,5000.0,604.071,544.024,1249.88,5000.0,1055.17,3898.22,404.804,1419.9,5000.0,1494.63,1493.18,5000.0,1765.47,5000.0,2718.0,962.837,311.814,3585.27,1202.93
