Instance,MD5,Nigma-DRUP,Nigma-NoPB-DRUP,minisat_bit_u,forl,SAT4J Certified,forl,Lingeling,glucose,glueminisat-cert-unsat,Riss3g,minisat DRUP
hitag2-7-60-0-0xe8fa35372ed37e2-80.cnf,461d9c5e67bb74c72dfce3dba4eb95ab,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
bob12m06.cnf,94225ea9deb2ccc903fa0924fb525604,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2903.94,2682.49,2820.28,5000.0
pb_400_03_lb_05.cnf,4d83f156f9efd1888ab96bbdbd99064f,179.335,134.753,5000.0,194.272,5000.0,124.367,215.038,73.3668,289.719,164.713,877.069
gus-md5-11.cnf,ef12e784fe394de4126960bcf93ce7c7,5000.0,5000.0,2369.28,3499.43,5000.0,2774.21,5000.0,5000.0,5000.0,5000.0,2455.76
bob12s06.cnf,eef8c1a6df2eb38a7738ccc702be6bda,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2799.38,3074.33,3928.09,5000.0
bob12s02.cnf,0fb2494b397296cc706e5b20d7a79122,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,758.545,5000.0,959.295,5000.0
bob12s06.cnf,952d1a9274fe8625dff0e5e6d80e4a0d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2886.1,2844.69,2950.75,5000.0
hitag2-7-60-0-0x39ff85d4ef127de-52.cnf,0d89eced4fcac720430d1f4de9fda14d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
6s139.cnf,3af2030c8c40427bf22141a6cb78c2c5,4270.36,5000.0,3276.64,4949.37,5000.0,5000.0,4471.82,5000.0,4414.31,5000.0,3014.21
hitag2-7-60-0-0x5f8ec0ffa4b15c6-25.cnf,fd16fc7a1545cb4753ae020df57b6bd4,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-7-60-0-0xe97b5f1bee04d70-47.cnf,68726b5faa7075d7d888a3066ef06fd8,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
