#t lex rand(10) rand(20) rand(30) rand(40)
0 140065.019829 132024.371799 134673.499221 136659.939448
1 280130.039657 264048.743599 269346.998443 273319.878897
2 420195.059486 396073.115398 404020.497664 409979.818345
3 560260.079315 528097.487198 538693.996886 546639.757793
4 700325.099143 660121.858997 673367.496107 683299.697242
5 840390.118972 792146.230797 808040.995329 819959.63669
6 980455.138801 924170.602596 942714.49455 956619.576138
7 1120520.15863 1056194.9744 1077387.99377 1093279.51559
8 1260585.17846 1188219.34619 1212061.49299 1229939.45503
9 1400650.19829 1320243.71799 1346734.99221 1366599.39448
10 1540715.21812 1452268.08979 1481408.49144 1503259.33393
11 1680780.23794 1584292.46159 1616081.99066 1639919.27338
12 1820845.25777 1716316.83339 1750755.48988 1776579.21283
13 1960910.2776 1848341.20519 1885428.9891 1913239.15228
14 2100975.29743 1980365.57699 2020102.48832 2049899.09172
15 2241040.31726 2112389.94879 2154775.98754 2186559.03117
16 2381105.33709 2244414.32059 2289449.48677 2323218.97062
17 2521170.35692 2376438.69239 2424122.98599 2459878.91007
18 2661235.37674 2508463.06419 2558796.48521 2596538.84952
19 2801300.39657 2640487.43599 2693469.98443 2733198.78897
20 2941365.4164 2772511.80779 2828143.48365 2869858.72841
21 3081430.43623 2904536.17959 2962816.98287 3006518.66786
22 3221495.45606 3036560.55139 3097490.48209 3143178.60731
23 3361560.47589 3168584.92319 3232163.98132 3279838.54676
24 3501625.49572 3300609.29499 3366837.48054 3416498.48621
25 3641690.51555 3432633.66679 3501510.97976 3553158.42566
26 3781755.53537 3564658.03858 3636184.47898 3689818.3651
27 3921820.5552 3696682.41038 3770857.9782 3826478.30455
28 4061885.57503 3828706.78218 3905531.47742 3963138.244
29 4201950.59486 3960731.15398 4040204.97664 4099798.18345
30 4342015.61469 4092755.52578 4174878.47587 4236458.1229
31 4482080.63452 4224779.89758 4309551.97509 4373118.06235
32 4622145.65435 4356804.26938 4444225.47431 4509778.00179
33 4762210.67418 4488828.64118 4578898.97353 4646437.94124
34 4902275.694 4620853.01298 4713572.47275 4783097.88069
35 5042340.71383 4752877.38478 4848245.97197 4919757.82014
36 5182405.73366 4884901.75658 4982919.4712 5056417.75959
37 5322470.75349 5016926.12838 5117592.97042 5193077.69904
38 5462535.77332 5148950.50018 5252266.46964 5329737.63848
39 5602600.79315 5280974.87198 5386939.96886 5466397.57793
40 5742665.81298 5412999.24378 5521613.46808 5603057.51738
41 5882730.8328 5545023.61558 5656286.9673 5739717.45683
42 6022795.85263 5677047.98738 5790960.46652 5876377.39628
43 6162860.87246 5809072.35918 5925633.96575 6013037.33573
44 6302925.89229 5941096.73097 6060307.46497 6149697.27517
45 6442990.91212 6073121.10277 6194980.96419 6286357.21462
46 6583055.93195 6205145.47457 6329654.46341 6423017.15407
47 6723120.95178 6337169.84637 6464327.96263 6559677.09352
48 6863185.97161 6469194.21817 6599001.46185 6696337.03297
49 7003250.99143 6601218.58997 6733674.96107 6832996.97242
50 7143316.01126 6733242.96177 6868348.4603 6969656.91186
51 7283381.03109 6865267.33357 7003021.95952 7106316.85131
52 7423446.05092 6997291.70537 7137695.45874 7242976.79076
53 7563511.07075 7129316.07717 7272368.95796 7379636.73021
54 7703576.09058 7261340.44897 7407042.45718 7516296.66966
55 7843641.11041 7393364.82077 7541715.9564 7652956.6091
56 7983706.13023 7525389.19257 7676389.45563 7789616.54855
57 8123771.15006 7657413.56437 7811062.95485 7926276.488
58 8263836.16989 7789437.93617 7945736.45407 8062936.42745
59 8403901.18972 7921462.30797 8080409.95329 8199596.3669
60 8543966.20955 8053486.67977 8215083.45251 8336256.30635
61 8684031.22938 8185511.05157 8349756.95173 8472916.24579
62 8824096.24921 8317535.42336 8484430.45095 8609576.18524
63 8964161.26904 8449559.79516 8619103.95018 8746236.12469
64 9104226.28886 8581584.16696 8753777.4494 8882896.06414
65 9244291.30869 8713608.53876 8888450.94862 9019556.00359
66 9384356.32852 8845632.91056 9023124.44784 9156215.94304
67 9524421.34835 8977657.28236 9157797.94706 9292875.88248
68 9664486.36818 9109681.65416 9292471.44628 9429535.82193
69 9804551.38801 9241706.02596 9427144.9455 9566195.76138
70 9944616.40784 9373730.39776 9561818.44473 9702855.70083
71 10084681.4277 9505754.76956 9696491.94395 9839515.64028
72 10224746.4475 9637779.14136 9831165.44317 9976175.57973
73 10364811.4673 9769803.51316 9965838.94239 10112835.5192
74 10504876.4872 9901827.88496 10100512.4416 10249495.4586
75 10644941.507 10033852.2568 10235185.9408 10386155.3981
76 10785006.5268 10165876.6286 10369859.4401 10522815.3375
77 10925071.5466 10297901.0004 10504532.9393 10659475.277
78 11065136.5665 10429925.3722 10639206.4385 10796135.2164
79 11205201.5863 10561949.744 10773879.9377 10932795.1559
80 11345266.6061 10693974.1158 10908553.4369 11069455.0953
81 11485331.626 10825998.4876 11043226.9362 11206115.0348
82 11625396.6458 10958022.8594 11177900.4354 11342774.9742
83 11765461.6656 11090047.2312 11312573.9346 11479434.9137
84 11905526.6854 11222071.603 11447247.4338 11616094.8531
85 12045591.7053 11354095.9748 11581920.933 11752754.7926
86 12185656.7251 11486120.3466 11716594.4323 11889414.732
87 12325721.7449 11618144.7184 11851267.9315 12026074.6715
88 12465786.7648 11750169.0902 11985941.4307 12162734.6109
89 12605851.7846 11882193.4619 12120614.9299 12299394.5503
90 12745916.8044 12014217.8337 12255288.4292 12436054.4898
91 12885981.8242 12146242.2055 12389961.9284 12572714.4292
92 13026046.8441 12278266.5773 12524635.4276 12709374.3687
